"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level","Match_Count","Line Number","Text"
"1","","","","","1","1","",""
"1","","","","","","","1","<OFFICE-15, TUTOR, TUTOR2.AUG;1,>, 18-Oct-84 15:21-EDT RVR ;;;;"
"1.1","1","02","RVR","Thu 18 Oct 1984 06:22:51 GMT+00:00","2","5","",""
"1.1","","","","","","","1","Welcome back!  We will begin with a very quick review of the"
"1.1","","","","","","","2","subjects covered previously.  If you have forgotten any of the"
"1.1","","","","","","","3","material, you can type &quot;jftutor<OK><OK>&quot; (which will"
"1.1","","","","","","","4","be echoed on your screen as &quot;Jump (to) File (named)"
"1.1","","","","","","","5","tutor!!&quot;) and you can review everything in detail."
"1.2","2","03","ROSE","Wed 7 Jan 1981 07:19:58 GMT+00:00","2","7","",""
"1.2","","","","","","","1","The basic commands for moving around are the Jump commands,"
"1.2","","","","","","","2","which you begin by typing &quot;j&quot;.  The simplest way of"
"1.2","","","","","","","3","indicating the destination is by using the mouse to mark the"
"1.2","","","","","","","4","statement you want at the top of the screen, and then pressing"
"1.2","","","","","","","5","<OK> again.  You can jump to the origin by typing &quot;jo&quot;"
"1.2","","","","","","","6","(standing for &quot;Jump (to) Origin&quot;) followed by two"
"1.2","","","","","","","7","<OK>'s."
"1.3","3","04","ROSE","Mon 5 Jan 1981 07:29:05 GMT+00:00","2","8","",""
"1.3","","","","","","","1","Again, remember that the way to view this file is with a"
"1.3","","","","","","","2","sequence of Jump commands.  The previous file was carefully"
"1.3","","","","","","","3","arranged so that only complete statements appeared on the screen"
"1.3","","","","","","","4","after each jump.  In this file, that will not be the case; when"
"1.3","","","","","","","5","you type &quot;j&quot; for &quot;Jump&quot; and mark the bottom"
"1.3","","","","","","","6","statement on the screen, often a few lines of text that were on"
"1.3","","","","","","","7","the bottom of the screen will be repeated at the top of the"
"1.3","","","","","","","8","screen in the next view."
"1.4","4","05","ROSE","Mon 5 Jan 1981 07:45:26 GMT+00:00","2","6","",""
"1.4","","","","","","","1","Notice that this is exactly what happens in the case of this"
"1.4","","","","","","","2","statement.  The first three lines of the statement will appear"
"1.4","","","","","","","3","at the top of the next view when you type &quot;j&quot; and mark"
"1.4","","","","","","","4","this statement, together with some more information which was"
"1.4","","","","","","","5","part of the same paragraph, but was too long to fit entirely in"
"1.4","","","","","","","6","the screenful you were just viewing."
"1.5","5","06","ROSE","Mon 5 Jan 1981 07:47:19 GMT+00:00","2","2","",""
